code_region;libelle_region;bassins_versants;code_departement;libelle_departement;code_commune;libelle_commune;code_cours_eau;libelle_cours_eau;code_masse_eau_edl;libelle_masse_eau_edl;type_mesures;type_d_eau;code_site;libelle_site;code_station;libelle_station;station_bulletin;ajout
84;AUVERGNE-RHONE-ALPES;Plaine de Valence;26;DROME;26023;BARBIERES;V4010500;La Barberolle;;;Débits;superficiel;V4015030;La Barberolle à Barbières [Pont des Ducs];V401503001;La Barberolle à Barbières [Pont des Ducs];OUI;
84;AUVERGNE-RHONE-ALPES;Plaine de Valence;26;DROME;26023;BARBIERES;;La Barberolle;;;Ondes;superficiel;V4015010 ;La Barberolle à Barbières ;V4015010 ;La Barberolle à Barbières ;OUI;OUI
84;AUVERGNE-RHONE-ALPES;Bassin de la Drôme;26;DROME;26035;BEAUFORT-SUR-GERVANNE;V4270500;La Gervanne;;;Débits;superficiel;V4275010;La Gervanne à Beaufort-sur-Gervanne;V427501001;La Gervanne à Beaufort-sur-Gervanne [Résurgence des Fontaigneux];OUI;
84;AUVERGNE-RHONE-ALPES;Bassin de la Drôme;26;DROME;26035;BEAUFORT-SUR-GERVANNE;V4270500;La Gervanne;;;Débits;superficiel;V4275910;La Gervanne à Beaufort-sur-Gervanne [Résurgence des Fontaigneux];V427591001;La Gervanne à Beaufort-sur-Gervanne [Résurgence des Fontaigneux];OUI;
84;AUVERGNE-RHONE-ALPES;Bassin de la Drôme;26;DROME;26035;BEAUFORT-SUR-GERVANNE;V4270500;La Gervanne;;;Ondes;superficiel;V4275911 ;La Gervanne à Beaufort ;V4275911 ;La Gervanne à Beaufort ;OUI;OUI
84;AUVERGNE-RHONE-ALPES;Bassin de la Drôme;26;DROME;26040;BEAURIERES ;V4200400;La Drôme;;;Ondes;superficiel;V4200001;La Drôme à Beaurières;V4200001;La Drôme à Charens ;OUI;
93;PROVENCE-ALPES-CÔTE-D-AZUR;Lez provençal – Lauzon;84;VAUCLUSE;84500;BOLLENE;V5230400;Le Lez;;;Débits;superficiel;V5234010;Le Lez à Bollène;V523401001;Le Lez à Bollène;OUI;
84;AUVERGNE-RHONE-ALPES;Lez provençal – Lauzon;26;DROME;26054;BOUCHET;V5220540;Herin;;;Débits;superficiel;V5220002;L'Herin à Bouchet;V522000201;L'Herin à Bouchet;OUI;
84;AUVERGNE-RHONE-ALPES;Roubion – Jabron;26;DROME;26060;BOUVIERES;V4400500;La Gumiane;;;Ondes;superficiel;V4400001;La Gumiane à Bouvières;V4400001;La Gumiane à Bouvières;OUI;
84;AUVERGNE-RHONE-ALPES;Plaine de Valence;26;DROME;26064;CHABEUIL;V40-0400;La Véore;;;Débits;superficiel;V4034010;La Véore à Chabeuil [Pont des Faucons];V403401001;La Véore à Chabeuil [Pont des Faucons];OUI;
