bassins_versants;type_d_eau;restrictions;Perspectives_restrictions;commentaires
AEygues;Souterrain;N;N;
AEygues;Superficiel;N;N;
Bassin de la Drôme;Souterrain;N;N;
Bassin de la Drôme;Superficiel;N;N;
Berre;Souterrain;N;V;
Berre;Superficiel;N;V;
Bièvre Liers Valloire;Souterrain;N;N;restrictions g‚r‚es par le pr‚fet 38
Bièvre Liers Valloire;Superficiel;N;N;restrictions g‚r‚es par le pr‚fet 38
Galaure – Drôme des Collines;Souterrain;N;V;
Galaure – Drôme des Collines;Superficiel;N;V;
La Méouge;Souterrain;N;V;
La Méouge;Superficiel;N;V;
Lez provençal – Lauzon;Souterrain;N;V;
Lez provençal – Lauzon;Superficiel;N;V;
Ouvèze Provencale;Souterrain;N;N;restrictions g‚r‚es par le pr‚fet 84
Ouvèze Provencale;Superficiel;N;N;restrictions g‚r‚es par le pr‚fet 84
Plaine de Valence;Souterrain;N;V;
Plaine de Valence;Superficiel;N;V;
Roubion – Jabron;Souterrain;N;N;
Roubion – Jabron;Superficiel;N;N;
Royan – Vercors;Souterrain;N;V;
Royan – Vercors;Superficiel;N;V;
