stations;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
La Galaure à Saint-Uze;V361401001;1-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;2-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;3-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;4-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;5-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;6-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;7-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;8-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;9-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;10-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;11-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;12-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;13-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;14-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;15-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;16-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;17-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;18-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;19-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;20-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;21-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;22-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;23-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;24-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;25-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;26-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;27-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;28-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;29-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;30-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;31-janv.;1.54;1.2;1.04;0.94
La Galaure à Saint-Uze;V361401001;1-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;2-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;3-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;4-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;5-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;6-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;7-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;8-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;9-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;10-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;11-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;12-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;13-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;14-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;15-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;16-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;17-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;18-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;19-fevr.;1.58;1.23;1.07;0.97
La Galaure à Saint-Uze;V361401001;20-fevr.;1.58;1.23;1.07;0.97
