stations,id_bss,code_stations,date,vigilance,alerte,alerte_renforcee,crise
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-01-01,289.5,288.12,287.4,286.8
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-02-01,289.7,288.15000000000003,287.33,286.66
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-03-01,289.65000000000003,288.07,287.25,286.56
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-04-01,289.68,288.28999999999996,287.56,286.96
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-05-01,289.76,288.47999999999996,287.82,287.27
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-06-01,289.69,288.51,287.89,287.38
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-07-01,289.39,288.35,287.81,287.36
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-08-01,289.08,288.14000000000004,287.65000000000003,287.25
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-09-01,288.83,287.97999999999996,287.54,287.17
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-10-01,288.66,287.81,287.36,286.98999999999995
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-11-01,288.76,287.71,287.17,286.71999999999997
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH,BSS001VTSN,07475X0008/F3,2025-12-01,289.04,287.81,287.17,286.64000000000004
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-01-01,210.37,209.91,209.67,209.47
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-02-01,210.48000000000002,209.96,209.69,209.47
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-03-01,210.54,210,209.72,209.49
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-04-01,210.58,210.03,209.75,209.52
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-05-01,210.53,210,209.72,209.49
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-06-01,210.43,209.91,209.64,209.42000000000002
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-07-01,210.02,209.46,209.16,208.91
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-08-01,209.60999999999999,209,208.69,208.43
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-09-01,209.7,209.2,208.94,208.72
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH,BSS001WMCG,07703X0043/SDC,2025-10-01,209.93,209.5,209.26999999999998,209.09
