stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;15-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;16-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;17-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;18-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;19-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;20-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;21-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;22-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;23-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;24-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;25-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;26-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;27-Janvier;107.67;107.54;107.43;107.36
"Nappe alluviale de L'AYGUES (SAINTE CECILE LES VIGNES) 
EARL DELHOME JM et B";OUGC84-1754;OUGC84-1754;28-Janvier;107.67;107.54;107.43;107.36
