stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Janvier;289.5;288.12;287.4;286.8
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Février;289.7;288.15;287.33;286.66
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Mars;289.65;288.07;287.25;286.56
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Avril;289.68;288.29;287.56;286.96
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Mai;289.76;288.48;287.82;287.27
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Juin;289.69;288.51;287.89;287.38
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Juillet;289.39;288.35;287.81;287.36
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Août;289.08;288.14;287.65;287.25
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Septembre;288.83;287.98;287.54;287.17
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Octobre;288.66;287.81;287.36;286.99
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Novembre;288.76;287.71;287.17;286.72
PIEZOMETRE - VAL DU SUZON (POMMIER-DE-BEAUREPAIRE - BRGM 38) - BSH ;BSS001VTSN;07475X0008/F3;Décembre;289.04;287.81;287.17;286.64
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Janvier;210.37;209.91;209.67;209.47
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Février;210.48;209.96;209.69;209.47
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Mars;210.54;210;209.72;209.49
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Avril;210.58;210.03;209.75;209.52
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Mai;210.53;210;209.72;209.49
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Juin;210.43;209.91;209.64;209.42
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Juillet;210.02;209.46;209.16;208.91
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Août;209.61;209;208.69;208.43
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Septembre;209.7;209.2;208.94;208.72
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Octobre;209.93;209.5;209.27;209.09
PIEZOMETRE - BEL AIR (BOUGE-CHAMBALUD - BRGM 38) - BSH;BSS001WMCG;07703X0043/SDC;Novembre;210.09;209.64;209.4;209.21
