Zone,code_entite,Station,integrer,UG,repr,NPA,NPC
Galaure – Drôme des Collines,07707X0144/F,Claveyson (Molasse Miocène),O,sou,2,,
Galaure – Drôme des Collines,07953X0104/P,Saint-Bonnet-de-Chavagne,O,sou,3,,
Galaure – Drôme des Collines,07944X0409/F,Margès (Molasse Miocène),O,sou,2,,
Galaure – Drôme des Collines,07948X0038/S,Romans-sur-Isère (alluvions de l’Isère),O,sou,2,,
Plaine de Valence,08184X0084/PZ1,Valence (Alluvions anciennes  de la Plaine de Valence),O,sou,3,,
Plaine de Valence,08191X0022/P,Charpey (Alluvions anciennes de la Plaine de Valence),O,sou,2,,
Plaine de Valence,08188X0045/BERN,Montmeyran (Molasse Miocène),O,sou,3,,
Plaine de Valence,07955X0099/P1,Chatuzange-le-Goubet (Molasse Miocène),N,sou,1,,
Bassin de la Drôme,08423X0067/PZ,Grâne (alluvions de la Drôme),O,sou,3,,
Bassin de la Drôme,08424X0006/F2,Eurre (alluvions de la Dôme),O,sou,3,,
Bassin de la Drôme,08422X0191/F2,Livron (alluvions de la Drôme / Confluence Rhône),O,sou,1,,
Bassin de la Drôme,08422X0190/F1,Loriol (alluvions de la Drôme / Confluence Rhône),O,sou,1,,
Roubion – Jabron,08662X0408/F,Saint-Marcel-les-Sauzet (Alluvions Roubion-Jabron),O,sou,2,,
Roubion – Jabron,08435X0010/NO8,Saoû (système mixte karst – alluvions),O,sou,1,,
Bièvre Liers Valloire (ZA spé.),07704X0079/S,Nappe à Manthes,O,sou,3,,
