Zone,code_entite,Station,integrer,DOE_m3.s,DCR_m3.s,UG,repr
Bièvre Liers Valloire (ZA gén.),V340431001,Le Rival à Brezins,O,,,sup,3
Bièvre Liers Valloire (ZA gén.),V342431001,Le Rival à Beaufort,O,,,sup,3
Bièvre Liers Valloire (ZA gén.),V343401001,Les Collières à St Rambert d’Albon,O,"0,6","0,22",sup,3
Galaure – Drôme des Collines,V361401001,La Galaure à Saint-Uze,O,"0,57","0,29",sup,1
Galaure – Drôme des Collines,W353402001,L'Herbasse à Clérieux,O,"0,55","0,26",sup,3
Plaine de Valence,V401503001,La Barberolle à Barbières,O,,,sup,3
Plaine de Valence,V403401001,La Véore à Chabeuil,O,,,sup,3
Royan – Vercors,W331501001,Le Meaudret à Méaudre (38),O,,,sup,3
Royan – Vercors,W333521001,L'Adouin à Saint-Martin-en-Vercors,O,,,sup,3
Bassin de la Drôme,V421401001,La Drôme à Luc-en-Diois,O,,,sup,2
Bassin de la Drôme,V422501001,Le Bez à Châtillon-en-Diois,O,,,sup,2
Bassin de la Drôme,V426401001,La Drôme à Saillans,O,"1,9","0,21",sup,2
Bassin de la Drôme,V427501001,La Gervanne à Beaufort-sur-Gervanne,O,,,sup,3
Bassin de la Drôme,V428701001,La Grenette à la Répara-Auriples,O,,,sup,1
Bassin de la Drôme,V427591001,Les resurgences de Fontaigneux à Beaufort-sur-Gervanne ,O,,,sup,2
Roubion – Jabron,V441401001,Le Roubion à Soyans,O,,,sup,2
Roubion – Jabron,V445501001,Le Jabron à Souspierre,O,,,sup,3
